School,Year,Phase,Vacancy,Applied,Taken,Balloting,Application Rate
Admiralty Primary School,2009,1,300,168,168,,0.56
Ahmad Ibrahim Primary School,2009,1,180,57,57,,0.316666667
Ai Tong School,2009,1,330,144,144,,0.436363636
Anchor Green Primary School,2009,1,240,50,50,,0.208333333
Anderson Primary School,2009,1,240,106,106,,0.441666667
Ang Mo Kio Primary School,2009,1,210,67,67,,0.319047619
Anglo-Chinese School (Junior),2009,1,270,83,83,,0.307407407
Anglo-Chinese School (Primary),2009,1,240,60,60,,0.25
Angsana Primary School,2009,1,180,26,26,,0.144444444
Beacon Primary School,2009,1,240,64,64,,0.266666667
Bedok Green Primary School,2009,1,210,71,71,,0.338095238
Bendemeer Primary School,2009,1,150,44,44,,0.293333333
Blangah Rise Primary School,2009,1,210,30,30,,0.142857143
Boon Lay Garden Primary School,2009,1,270,77,77,,0.285185185
Bukit Panjang Primary School,2009,1,240,142,142,,0.591666667
Bukit Timah Primary School,2009,1,180,46,46,,0.255555556
Bukit View Primary School,2009,1,180,58,58,,0.322222222
Canberra Primary School,2009,1,270,128,128,,0.474074074
Canossa Catholic Primary School,2009,1,120,16,16,,0.133333333
Casuarina Primary School,2009,1,180,72,72,,0.4
Catholic High School (Primary),2009,1,210,50,50,,0.238095238
Cedar Primary School,2009,1,150,46,46,,0.306666667
Changkat Primary School,2009,1,180,73,73,,0.405555556
CHIJ (Katong) Primary,2009,1,240,51,51,,0.2125
CHIJ (Kellock),2009,1,200,50,50,,0.25
CHIJ Our Lady of Good Counsel,2009,1,150,32,32,,0.213333333
CHIJ Our Lady of the Nativity,2009,1,240,63,63,,0.2625
CHIJ Our Lady Queen of Peace,2009,1,180,47,47,,0.261111111
CHIJ Primary (Toa Payoh),2009,1,210,50,50,,0.238095238
CHIJ St. Nicholas Girls' School,2009,1,210,64,64,,0.304761905
Chongfu School,2009,1,300,119,119,,0.396666667
Chongzheng Primary School,2009,1,180,91,91,,0.505555556
Chua Chu Kang Primary School,2009,1,270,121,121,,0.448148148
Clementi Primary School,2009,1,240,97,97,,0.404166667
Compassvale Primary School,2009,1,210,105,105,,0.5
Concord Primary School,2009,1,210,106,106,,0.504761905
Corporation Primary School,2009,1,300,89,89,,0.296666667
Damai Primary School,2009,1,180,33,33,,0.183333333
Dazhong Primary School,2009,1,150,41,41,,0.273333333
De La Salle School,2009,1,270,105,105,,0.388888889
East Spring Primary School,2009,1,180,91,91,,0.505555556
Edgefield Primary School,2009,1,240,99,99,,0.4125
Elias Park Primary School,2009,1,180,88,88,,0.488888889
Endeavour Primary School,2009,1,270,63,63,,0.233333333
Eunos Primary School,2009,1,180,61,61,,0.338888889
Evergreen Primary School,2009,1,270,122,122,,0.451851852
Fairfield Methodist School (Primary),2009,1,270,96,96,,0.355555556
Farrer Park Primary School,2009,1,180,28,28,,0.155555556
Fengshan Primary School,2009,1,240,73,73,,0.304166667
Fernvale Primary School,2009,1,240,68,68,,0.283333333
First Toa Payoh Primary School,2009,1,210,36,36,,0.171428571
Fuchun Primary School,2009,1,270,131,131,,0.485185185
Fuhua Primary School,2009,1,270,108,108,,0.4
Gan Eng Seng Primary School,2009,1,240,75,75,,0.3125
Geylang Methodist School (Primary),2009,1,270,100,100,,0.37037037
Gongshang Primary School,2009,1,240,122,122,,0.508333333
Greendale Primary School,2009,1,270,57,57,,0.211111111
Greenridge Primary School,2009,1,270,137,137,,0.507407407
Greenwood Primary School,2009,1,270,136,136,,0.503703704
Guangyang Primary School,2009,1,150,17,17,,0.113333333
Haig Girls' School,2009,1,180,38,38,,0.211111111
Henry Park Primary School,2009,1,330,154,154,,0.466666667
Holy Innocents' Primary School,2009,1,300,121,121,,0.403333333
Hong Wen School,2009,1,210,80,80,,0.380952381
Horizon Primary School,2009,1,270,0,0,,0
Hougang Primary School,2009,1,240,120,120,,0.5
Huamin Primary School,2009,1,180,50,50,,0.277777778
Innova Primary School,2009,1,240,77,77,,0.320833333
Jiemin Primary School,2009,1,180,63,63,,0.35
Jing Shan Primary School,2009,1,180,65,65,,0.361111111
Junyuan Primary School,2009,1,180,43,43,,0.238888889
Jurong Primary School,2009,1,270,129,129,,0.477777778
Jurong West Primary School,2009,1,240,120,120,,0.5
Juying Primary School,2009,1,240,92,92,,0.383333333
Keming Primary School,2009,1,210,84,84,,0.4
Kheng Cheng School,2009,1,240,78,78,,0.325
Kong Hwa School,2009,1,270,106,106,,0.392592593
Kranji Primary School,2009,1,270,77,77,,0.285185185
