School,Year,Phase,Vacancy,Applied,Taken,Balloting,Application Rate
Admiralty Primary School,2009,1,300,168,168,,0.56
Ahmad Ibrahim Primary School,2009,1,180,57,57,,0.31666666666666665
Ai Tong School,2009,1,330,144,144,,0.43636363636363634
Anchor Green Primary School,2009,1,240,50,50,,0.20833333333333334
Anderson Primary School,2009,1,240,106,106,,0.44166666666666665
Ang Mo Kio Primary School,2009,1,210,67,67,,0.319047619047619
Anglo-Chinese School (Junior),2009,1,270,83,83,,0.3074074074074074
Anglo-Chinese School (Primary),2009,1,240,60,60,,0.25
Angsana Primary School,2009,1,180,26,26,,0.14444444444444443
Beacon Primary School,2009,1,240,64,64,,0.26666666666666666
Bedok Green Primary School,2009,1,210,71,71,,0.3380952380952381
Bendemeer Primary School,2009,1,150,44,44,,0.29333333333333333
Blangah Rise Primary School,2009,1,210,30,30,,0.14285714285714285
Boon Lay Garden Primary School,2009,1,270,77,77,,0.2851851851851852
Bukit Panjang Primary School,2009,1,240,142,142,,0.5916666666666667
Bukit Timah Primary School,2009,1,180,46,46,,0.25555555555555554
Bukit View Primary School,2009,1,180,58,58,,0.32222222222222224
Canberra Primary School,2009,1,270,128,128,,0.4740740740740741
Canossa Catholic Primary School,2009,1,120,16,16,,0.13333333333333333
Casuarina Primary School,2009,1,180,72,72,,0.4
Catholic High School (Primary),2009,1,210,50,50,,0.23809523809523808
Cedar Primary School,2009,1,150,46,46,,0.30666666666666664
Changkat Primary School,2009,1,180,73,73,,0.40555555555555556
CHIJ (Katong) Primary,2009,1,240,51,51,,0.2125
CHIJ (Kellock),2009,1,200,50,50,,0.25
CHIJ Our Lady of Good Counsel,2009,1,150,32,32,,0.21333333333333335
CHIJ Our Lady of the Nativity,2009,1,240,63,63,,0.2625
CHIJ Our Lady Queen of Peace,2009,1,180,47,47,,0.2611111111111111
CHIJ Primary (Toa Payoh),2009,1,210,50,50,,0.23809523809523808
CHIJ St. Nicholas Girls' School,2009,1,210,64,64,,0.3047619047619048
Chongfu School,2009,1,300,119,119,,0.39666666666666667
Chongzheng Primary School,2009,1,180,91,91,,0.5055555555555555
Chua Chu Kang Primary School,2009,1,270,121,121,,0.44814814814814813
Clementi Primary School,2009,1,240,97,97,,0.4041666666666667
Compassvale Primary School,2009,1,210,105,105,,0.5
Concord Primary School,2009,1,210,106,106,,0.5047619047619047
Corporation Primary School,2009,1,300,89,89,,0.2966666666666667
Damai Primary School,2009,1,180,33,33,,0.18333333333333332
Dazhong Primary School,2009,1,150,41,41,,0.2733333333333333
De La Salle School,2009,1,270,105,105,,0.3888888888888889
East Spring Primary School,2009,1,180,91,91,,0.5055555555555555
Edgefield Primary School,2009,1,240,99,99,,0.4125
Elias Park Primary School,2009,1,180,88,88,,0.4888888888888889
Endeavour Primary School,2009,1,270,63,63,,0.23333333333333334
Eunos Primary School,2009,1,180,61,61,,0.3388888888888889
Evergreen Primary School,2009,1,270,122,122,,0.45185185185185184
Fairfield Methodist School (Primary),2009,1,270,96,96,,0.35555555555555557
Farrer Park Primary School,2009,1,180,28,28,,0.15555555555555556
Fengshan Primary School,2009,1,240,73,73,,0.30416666666666664
Fernvale Primary School,2009,1,240,68,68,,0.2833333333333333
First Toa Payoh Primary School,2009,1,210,36,36,,0.17142857142857143
Fuchun Primary School,2009,1,270,131,131,,0.48518518518518516
Fuhua Primary School,2009,1,270,108,108,,0.4
Gan Eng Seng Primary School,2009,1,240,75,75,,0.3125
Geylang Methodist School (Primary),2009,1,270,100,100,,0.37037037037037035
Gongshang Primary School,2009,1,240,122,122,,0.5083333333333333
Greendale Primary School,2009,1,270,57,57,,0.2111111111111111
Greenridge Primary School,2009,1,270,137,137,,0.5074074074074074
Greenwood Primary School,2009,1,270,136,136,,0.5037037037037037
Guangyang Primary School,2009,1,150,17,17,,0.11333333333333333
Haig Girls' School,2009,1,180,38,38,,0.2111111111111111
Henry Park Primary School,2009,1,330,154,154,,0.4666666666666667
Holy Innocents' Primary School,2009,1,300,121,121,,0.4033333333333333
Hong Wen School,2009,1,210,80,80,,0.38095238095238093
Horizon Primary School,2009,1,270,0,0,,0.0
Hougang Primary School,2009,1,240,120,120,,0.5
Huamin Primary School,2009,1,180,50,50,,0.2777777777777778
Innova Primary School,2009,1,240,77,77,,0.32083333333333336
Jiemin Primary School,2009,1,180,63,63,,0.35
Jing Shan Primary School,2009,1,180,65,65,,0.3611111111111111
Junyuan Primary School,2009,1,180,43,43,,0.2388888888888889
Jurong Primary School,2009,1,270,129,129,,0.4777777777777778
Jurong West Primary School,2009,1,240,120,120,,0.5
Juying Primary School,2009,1,240,92,92,,0.38333333333333336
Keming Primary School,2009,1,210,84,84,,0.4
Kheng Cheng School,2009,1,240,78,78,,0.325
Kong Hwa School,2009,1,270,106,106,,0.3925925925925926
Kranji Primary School,2009,1,270,77,77,,0.2851851851851852
Kuo Chuan Presbyterian Primary School,2009,1,240,80,80,,0.3333333333333333
Lakeside Primary School,2009,1,300,109,109,,0.36333333333333334
Lianhua Primary School,2009,1,180,72,72,,0.4
Maha Bodhi School,2009,1,330,141,141,,0.42727272727272725
Maris Stella High School,2009,1,320,84,84,,0.2625
Marsiling Primary School,2009,1,270,81,81,,0.3
Marymount Convent School,2009,1,240,40,40,,0.16666666666666666
Mayflower Primary School,2009,1,210,51,51,,0.24285714285714285
Mee Toh School,2009,1,300,154,154,,0.5133333333333333
Meridian Primary School,2009,1,210,70,70,,0.3333333333333333
Methodist Girls' School (Primary),2009,1,210,65,65,,0.30952380952380953
Montfort Junior School,2009,1,240,31,31,,0.12916666666666668
Nan Chiau Primary School,2009,1,300,125,125,,0.4166666666666667
Nan Hua Primary School,2009,1,240,82,82,,0.3416666666666667
Nanyang Primary School,2009,1,390,176,176,,0.4512820512820513
Naval Base Primary School,2009,1,210,50,50,,0.23809523809523808
